OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
29524,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1614.0,2,Vinterhybridrug,15,,1-211,2421.0,4,0,18.3,1595.7,8719.672131147541,,,
29532,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1614.0,2,Vinterhybridrug,15,,396-26,80.7,4,0,18.3,1595.7,8719.672131147541,,,
82783,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1551.0,2,Vinterhvede,11,,1-211,1551.0,4,0,15.51,1535.49,9900.0,,,
82786,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1551.0,2,Vinterhvede,11,,18-631,387.75,4,0,15.51,1535.49,9900.0,,,
82789,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1551.0,2,Vinterhvede,11,,19-240,542.85,4,0,15.51,1535.49,9900.0,,,
29522,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1430.0,2,Vinterraps,22,,396-77,286.0,2,0,14.3,1415.7,9900.0,,,
29523,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1430.0,2,Vinterraps,22,,396-12,500.5,4,0,14.3,1415.7,9900.0,,,
29527,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1430.0,2,Vinterraps,22,,19-93,2002.0,4,0,14.3,1415.7,9900.0,,,
29530,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1430.0,2,Vinterraps,22,,396-57,357.5,4,0,14.3,1415.7,9900.0,,,
29528,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1431.0,2,Vinterhybridrug,15,,1-154,500.85,4,0,18.3,1412.7,7719.672131147541,,,
29526,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1388.0,2,Vårbyg,1,,11-65,11.104,2,0,18.9,1369.1,7243.915343915344,,,
29529,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1388.0,2,Vårbyg,1,,48-47,2082.0,2,0,18.9,1369.1,7243.915343915344,,,
29533,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1388.0,2,Vårbyg,1,,18-432,1110.4,4,0,18.9,1369.1,7243.915343915344,,,
29534,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,1388.0,2,Vårbyg,1,,64-87,416.4,4,0,18.9,1369.1,7243.915343915344,,,
206295,,34929157,Strandvejen,20,nan,4180,Sorø,1273.4,2,Vinterhvede,11,,18-631,38.108,4,0,109.38000000000001,1164.02,1064.1982080819162,,,
206298,,34929157,Strandvejen,20,nan,4180,Sorø,1273.4,2,Vinterhvede,11,,1-174,81.75,4,0,109.38000000000001,1164.02,1064.1982080819162,,,
82784,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1130.0,2,Vinterbyg,10,,18-667,282.5,4,0,11.3,1118.7,9900.0,,,
82790,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1130.0,2,Vinterbyg,10,,1-211,1130.0,4,0,11.3,1118.7,9900.0,,,
82791,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,1130.0,2,Vinterbyg,10,,18-631,226.0,4,0,11.3,1118.7,9900.0,,,
69448,,16908142,Østenfjeldvej,17,nan,8581,Nimtofte,838.0,2,Vinterraps,22,,396-82,1.7,4,0,8.4,829.6,9876.190476190475,,,
29525,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,718.0,2,Vinterhvede,11,,18-564,430.8,4,0,7.180000000000001,710.82,9900.0,,,
29531,,13050198,Humlegårdvej,9,nan,7860,Spøttrup,718.0,2,Vinterhvede,11,,19-240,502.6,4,0,7.180000000000001,710.82,9900.0,,,
263284,,43164813,Østervang,12,nan,8920,Randers NV,519.0,2,Vårbyg,1,,756-8,1427.25,4,0,5.19,513.81,9899.999999999998,,,
82782,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,514.0,2,Vårbyg,1,,48-43,966.0,4,0,9.61,504.39,5248.59521331946,,,
82785,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,514.0,2,Vårbyg,1,,11-65,3.381,2,0,9.61,504.39,5248.59521331946,,,
82788,,18151790,Buskhedevej,17B,nan,8600,Silkeborg,514.0,2,Vårbyg,1,,64-82,72.45,4,0,9.61,504.39,5248.59521331946,,,
223983,,37918393,Lhombrevej,1,nan,7150,Barrit,504.92,2,Vinterbyg,10,,1-174,6.95,4,0,6.95,497.97,7165.035971223021,,,
270741,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,396-77,1.8,2,0,7.48,483.52,6464.171122994652,,,
270742,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,18-597,1.35,4,0,7.48,483.52,6464.171122994652,,,
270745,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,18-416,0.45,4,0,7.48,483.52,6464.171122994652,,,
270748,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,347-36,0.036,2,0,7.48,483.52,6464.171122994652,,,
270756,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,64-68,2.7,4,0,7.48,483.52,6464.171122994652,,,
270761,,49210914,Hauerballevej,30,nan,6052,Viuf,491.0,2,Vårbyg,1,,19-184,1.8,4,0,7.48,483.52,6464.171122994652,,,
162329,,28422865,Sct. Laurentii Vej,148,nan,9990,Skagen,429.0,2,Anden skovdrift,580,,706-1,300.0,4,0,6.14,422.86,6886.970684039089,,,
184267,,31396212,Venezuelavej,2,nan,4450,Jyderup,317.0,2,Vårbyg,1,,18-682,634.0,4,0,3.17,313.83,9900.0,,,
93727,,19143376,Møllevej,3,nan,6261,Bredebro,295.81,2,Vinterraps,22,,64-91,1.8942,4,0,5.74,290.07,5053.484320557491,,,
93728,,19143376,Møllevej,3,nan,6261,Bredebro,295.81,2,Vinterraps,22,,396-12,3.2718,4,0,5.74,290.07,5053.484320557491,,,
93730,,19143376,Møllevej,3,nan,6261,Bredebro,295.81,2,Vinterraps,22,,396-77,1.148,2,0,5.74,290.07,5053.484320557491,,,
225614,,38305735,Kurreholmvej,43,nan,3330,Gørløse,262.0,2,"Permanent græs, normalt udbytte",252,,11-65,0.01965,2,0,22.699999999999996,239.3,1054.1850220264319,,,
