CVR,CropCode,TotalMarkerArea,MarkerFieldCount
10001102,1,14.34,3
10001102,2,6.35,1
10001102,10,4.7,1
10001102,11,18.79,3
10001102,152,15.03,5
10001102,254,2.5,1
10001382,250,3.0700000000000003,2
10001382,276,9.11,3
10001382,318,5.26,2
10001447,1,3.92,1
10001447,252,0.32,1
10001447,260,2.1,2
10001447,263,14.39,5
10001447,271,0.66,1
10001447,318,114.33999999999999,13
10001447,701,16.13,2
10003253,1,6.49,2
10007194,1,61.0,8
10007194,10,14.04,2
10007194,11,100.10999999999999,10
10007194,22,23.2,1
10007194,108,15.5,1
10007194,276,0.95,1
10007194,308,0.11,1
10007194,325,4.25,3
10007194,327,1.38,5
10007992,1,117.97999999999999,13
10007992,3,22.72,2
10007992,10,30.87,3
10007992,11,112.13,9
10007992,15,40.88,3
10007992,22,28.119999999999997,4
10007992,252,4.63,2
10007992,254,10.260000000000002,5
10007992,263,10.73,1
10007992,271,4.47,3
10008042,1,43.89,9
10008042,11,42.24,19
10008042,22,22.48,2
10008042,252,10.209999999999999,3
10008042,257,3.95,2
10008042,280,0.63,1
10008042,308,0.48,1
10008042,310,0.07,1
10009995,252,4.1,3
10010748,11,7.44,3
10010942,15,29.700000000000003,4
10010942,31,10.79,2
10010942,247,20.99,1
10010942,252,15.27,6
10010942,254,3.94,1
10010942,260,18.349999999999998,3
10010942,264,0.27,1
10010942,318,212.9,11
10010942,709,6.9799999999999995,2
10010942,907,7.0600000000000005,10
10013232,247,5.15,2
10013232,255,4.1899999999999995,2
10013232,276,2.7,2
10015103,1,39.84,3
10015103,11,7.76,2
10015103,15,16.7,4
10015480,11,1.76,1
10015480,578,3.38,2
10015480,583,4.66,2
10017033,3,18.88,3
10017033,22,14.13,1
10017033,251,4.04,2
10017033,260,0.73,1
10017033,264,1.3399999999999999,4
10017033,268,3.3499999999999996,3
10017033,276,6.710000000000001,6
10017033,583,0.71,3
10017033,592,3.0100000000000002,4
10017033,593,4.26,7
10017033,603,5.6000000000000005,5
10018145,1,34.82,2
10018145,11,12.5,1
10018145,22,18.31,3
10018145,250,0.56,1
10018145,310,0.3,1
10019761,1,9.5,2
10019761,15,7.4799999999999995,2
10019761,276,0.19,1
10019788,1,15.39,3
10019788,3,7.33,2
10019788,264,0.14,1
10019788,276,1.7200000000000002,2
10019788,308,1.85,1
10019885,1,45.9,7
10019885,11,18.45,2
10019885,101,16.06,2
10019885,252,1.73,2
10020131,1,27.740000000000002,4
10020131,11,14.22,2
10020131,22,16.54,1
10020131,106,15.45,3
10020131,276,2.08,2
10020972,1,26.42,9
10020972,10,11.29,1
10020972,11,20.21,2
10020972,152,0.71,1
10020972,264,2.31,9
10020972,276,1.1,2
10020972,308,3.0900000000000003,2
10020972,325,0.71,1
10020972,424,0.46,1
10020972,513,4.359999999999999,5
10020972,668,0.4,1
10021006,254,4.4799999999999995,2
10021006,268,1.09,1
10021006,311,5.2,2
10021499,264,4.91,3
10021499,286,0.56,1
10021499,577,24.270000000000003,37
10021499,578,6.909999999999999,7
10021499,581,27.68,23
10021499,583,24.07,11
10021928,1,52.96,7
10021928,3,11.98,4
10021928,15,40.14,8
10021928,22,21.41,2
10021928,216,30.339999999999996,4
10021928,251,9.21,8
10021928,260,14.15,2
10021928,263,3.66,2
10021928,264,2.01,1
10021928,267,1.24,1
10021928,308,5.01,8
10021928,327,0.1,1
10021928,701,1.22,1
10022991,1,52.88000000000001,14
10022991,10,7.880000000000001,2
10022991,152,0.13,1
10022991,252,2.13,1
10022991,260,21.05,5
10023734,254,9.15,3
10023807,1,369.0600000000001,51
10023807,150,31.23,5
10023807,151,167.02999999999997,19
10023807,216,8.45,1
10023807,263,25.03,3
10023807,276,21.69,11
10023807,325,5.7,1
10023807,343,12.439999999999998,6
10024439,251,1.97,3
10024439,252,1.04,1
10024439,267,0.26,1
10024439,408,0.31,1
10024439,545,0.41,1
10024439,547,0.36,2
10024870,1,3.39,1
10024870,252,0.76,1
10024870,260,0.25,1
10024870,701,1.72,1
10026490,1,74.07,6
10026490,22,31.64,3
10026490,250,4.18,3
10026490,308,6.08,3
10028671,1,51.61999999999999,7
10028671,11,40.0,4
10028671,216,33.47,5
10028671,252,1.9500000000000002,3
10028671,260,20.1,2
10028671,271,0.83,2
10028671,274,3.3,1
10028671,276,2.13,2
10028671,308,7.68,4
10029988,252,10.1,4
10031133,1,3.35,2
10031133,260,2.87,1
10032296,3,13.91,2
10032296,11,7.53,1
10032296,15,1.68,1
10032296,30,18.76,1
10032296,264,2.58,2
10032504,250,19.09,12
10032504,264,0.15,1
10032504,266,14.770000000000001,8
10032504,268,3.24,1
10032830,1,113.63,5
10032830,11,214.09,8
10032830,22,149.73999999999998,8
10032830,108,82.99,5
10032830,160,88.05000000000001,7
10032830,252,0.83,2
10032830,308,1.7200000000000002,8
10034752,247,10.739999999999998,2
10034752,250,0.1,1
10034752,268,0.09,2
10034752,580,7.69,4
10034752,907,0.5000000000000001,6
10036852,3,12.01,1
10036852,252,3.54,2
10036852,260,25.830000000000005,5
10036852,263,0.45,1
10036852,540,2.87,3
10036852,541,0.43,1
10036852,578,5.64,1
10036852,580,0.5,1
10036852,592,1.540000000000001,32
10036852,907,1.2900000000000003,9
10037603,3,33.46,7
10037603,14,43.36,11
10037603,252,6.5,7
10037603,260,19.39,5
10037603,263,0.62,1
10039819,1,39.669999999999995,6
10039819,2,5.93,1
10039819,11,11.86,2
10039819,108,13.620000000000001,3
10040590,1,9.85,4
10040590,11,27.02,4
10040590,252,0.3,1
10040590,308,1.96,2
10041384,1,39.36,4
10041384,10,19.29,1
10041384,11,60.720000000000006,7
10041384,15,31.65,4
10041384,22,42.64,8
10041384,101,14.71,1
10041384,108,15.940000000000001,2
10041384,252,5.98,5
10041384,254,0.73,1
10041384,308,8.47,6
10041384,343,1.66,1
10044049,1,14.129999999999999,3
10044049,11,7.77,2
10044545,252,5.9399999999999995,2
10044545,260,2.38,1
10045495,1,14.920000000000002,2
10045495,10,9.28,1
10045495,11,36.099999999999994,7
10045495,16,14.14,3
10045495,22,11.89,1
10045495,334,1.45,7
10045495,339,0.26,1
10045649,1,14.11,4
10045649,15,21.4,2
10045649,216,39.9,16
10045649,252,9.16,10
10045649,257,1.56,1
10045649,260,74.84,17
10045649,263,0.06,1
10045649,276,5.04,2
10045649,310,0.36,1
10045649,580,11.7,1
10045649,706,7.1,3
10045835,1,12.25,1
10045835,11,30.34,4
10045835,22,10.649999999999999,2
10045835,308,0.06,1
10046092,1,22.91,4
10046092,3,2.8,1
10046092,11,6.77,1
10046092,276,1.8699999999999999,3
10047331,11,4.4,2
10047331,250,2.37,1
10047331,251,2.72,2
10047331,267,0.18,1
10048370,252,0.35,1
10048370,260,10.629999999999999,2
10048370,264,2.85,1
10048370,276,4.41,2
10048370,321,15.17,2
10048370,580,0.63,1
10048370,587,5.3,2
10048370,593,1.69,1
10050243,1,23.560000000000002,5
10050243,3,4.43,1
10050243,11,7.45,3
10050243,276,4.1,2
10050243,308,1.53,3
10050243,327,0.45,2
10050243,578,4.33,1
10052009,250,3.36,3
10052009,528,4.5200000000000005,8
10052009,529,0.42,1
10055695,1,25.43,8
10055695,3,3.01,1
10055695,15,8.120000000000001,3
10055695,250,3.4200000000000004,4
10055695,252,0.9,1
10055695,263,1.52,3
10057140,1,10.42,2
10057140,11,19.77,5
10057140,14,9.25,2
10057140,31,8.62,2
10057140,252,2.56,2
10057140,271,1.07,1
10057140,308,1.24,1
10057183,252,5.0200000000000005,5
10057183,260,2.81,1
10057183,583,1.6199999999999999,2
10057493,3,5.28,2
10057493,14,8.49,2
10057493,216,36.09,5
10057493,308,1.33,3
10057493,327,0.47,1
10057493,603,0.83,1
10058112,1,3.46,1
10058112,252,3.52,1
10058996,252,1.92,1
10058996,271,0.9199999999999999,2
10058996,321,4.66,2
10058996,903,0.97,1
10064031,1,9.969999999999999,4
10064031,3,4.93,1
10064031,252,4.9399999999999995,4
10064031,254,4.45,1
10065089,1,7.24,2
10065089,11,6.94,1
10067278,216,2.03,1
10067278,587,6.0,2
10068991,276,4.69,1
10070031,14,1.08,1
10070031,268,3.5100000000000002,3
10070082,252,1.29,2
10070082,254,18.04,11
10070082,578,3.57,1
10070082,580,5.7,3
10070082,585,0.01,1
10070082,591,0.72,1
10071771,1,8.030000000000001,4
10071771,252,2.19,2
10071771,260,1.66,1
10071771,321,0.17,1
10076900,1,14.809999999999999,2
10076900,11,22.669999999999998,3
10076900,22,23.560000000000002,2
10076900,252,0.3,1
10076900,325,0.56,1
10076900,583,3.0300000000000002,2
10078504,1,25.270000000000003,7
10078504,151,8.98,4
10078504,308,4.44,4
10078504,583,2.04,1
10079292,251,3.4000000000000004,2
10079292,252,2.06,1
10079292,254,5.81,1
10079691,1,19.96,5
10079691,15,11.75,2
10079691,252,21.339999999999996,12
10079691,254,9.98,3
10079691,260,5.83,3
10079691,308,1.86,1
10079748,1,40.25,6
10079748,7,34.22,1
10079748,216,57.129999999999995,9
10079748,255,3.38,1
10079748,257,2.39,1
10079748,260,68.63,2
10079748,263,2.37,2
10079748,701,36.31,2
10079802,1,6.73,3
10079802,255,0.62,2
10079802,260,13.52,3
10079802,580,5.1,1
10079802,701,5.220000000000001,2
10080738,3,7.949999999999999,5
10080738,907,2.09,1
10081904,1,9.899999999999999,3
10081904,3,3.74,1
10081904,15,15.66,3
10081904,250,0.95,1
10081904,263,0.19,1
10081904,268,1.5,1
10086558,180,1.65,2
10086558,182,7.41,7
10086558,263,6.6499999999999995,7
10086558,497,61.03,49
10086558,579,4.63,5
10086558,701,11.45,9
10087333,252,3.28,5
10087333,254,8.02,2
10087333,260,0.02,1
10087333,318,1.3000000000000003,3
10087333,907,1.5699999999999998,5
10092973,1,43.14999999999999,9
10092973,11,101.00999999999999,13
10092973,14,19.95,4
10092973,22,30.27,1
