CVR,CropCode,TotalSumPesticideApplicationArea,PesticideApplicationCount,DistinctAcreageValuesCount,MaxPesticideApplicationArea
10001102,1,57.84,4,1,14.46
10001102,2,44.45,7,1,6.35
10001102,10,18.84,4,1,4.71
10001102,11,112.8,6,1,18.8
10001102,152,105.56,7,1,15.08
10001447,1,11.76,3,1,3.92
10001447,705,11.78,2,1,5.89
10006449,583,69.9,3,1,23.3
10007194,1,609.3,10,1,60.93
10007194,10,98.27999999999997,7,1,14.04
10007194,11,1501.6499999999999,15,1,100.11
10007194,22,116.0,5,1,23.2
10007194,108,108.5,7,1,15.5
10007992,1,1533.74,13,1,117.98
10007992,3,90.88,4,1,22.72
10007992,10,246.64,8,1,30.83
10007992,11,1457.2999999999997,13,1,112.1
10007992,15,367.56,9,1,40.84
10007992,22,252.81,9,1,28.09
10008042,1,394.38,9,1,43.82
10008042,11,464.20000000000005,11,1,42.2
10008042,22,44.96,2,1,22.48
10013828,1,68.1,10,1,6.81
10013828,11,61.02,6,1,10.17
10013828,22,24.96,6,1,4.16
10015103,1,159.36,4,1,39.84
10015103,11,54.32,7,1,7.76
10015103,15,83.35000000000001,5,1,16.67
10015480,11,12.32,7,1,1.76
10017033,3,55.650000000000006,3,1,18.55
10017033,22,84.06,6,1,14.01
10018145,1,278.56,8,1,34.82
10018145,11,74.64,6,1,12.44
10018145,22,109.86,6,1,18.31
10019761,1,37.4,4,1,9.35
10019761,15,7.48,1,1,7.48
10019788,1,92.34,6,1,15.39
10019788,3,14.66,2,1,7.33
10019885,1,411.93,9,1,45.77
10019885,11,73.8,4,1,18.45
10019885,101,112.21000000000001,7,1,16.03
10020131,1,194.17999999999998,7,1,27.74
10020131,11,113.76,8,1,14.22
10020131,22,99.24,6,1,16.54
10020131,106,30.9,2,1,15.45
10020972,1,184.94,7,1,26.42
10020972,10,56.449999999999996,5,1,11.29
10020972,11,161.68,8,1,20.21
10020972,152,1.42,2,1,0.71
10020972,513,21.800000000000004,5,1,4.36
10021499,580,1.8,1,1,1.8
10021499,583,54.599999999999994,3,1,18.2
10021928,1,264.8,5,1,52.96
10021928,3,23.96,2,1,11.98
10021928,15,160.56,4,1,40.14
10021928,22,21.15,1,1,21.15
10021928,216,151.7,5,1,30.34
10021928,260,14.13,1,1,14.13
10022991,1,317.28000000000003,6,1,52.88
10022991,10,39.4,5,1,7.88
10022991,152,0.26,2,1,0.13
10023807,1,4642.82,13,1,357.14
10023807,150,524.1600000000001,13,1,40.32
10023807,151,3003.1200000000003,18,1,166.84
10023807,152,15.6,6,1,2.6
10023807,216,33.8,4,1,8.45
10026490,1,666.63,9,1,74.07
10026490,22,189.83999999999997,6,1,31.64
10028671,1,309.47999999999996,6,1,51.58
10028671,11,199.25,5,1,39.85
10028671,216,167.25,5,1,33.45
10032296,3,69.2,5,1,13.84
10032296,11,37.65,5,1,7.53
10032296,15,4.9799999999999995,3,1,1.66
10032296,30,56.28,3,1,18.76
10032830,1,681.72,6,1,113.62
10032830,11,1283.94,6,1,213.99
10032830,22,897.0,6,1,149.5
10032830,108,663.76,8,1,82.97
10032830,160,788.85,9,1,87.65
10036852,540,8.61,3,1,2.87
10036852,541,2.15,5,1,0.43
10039819,1,120.81,3,1,40.27
10039819,2,11.86,2,1,5.93
10039819,11,59.349999999999994,5,1,11.87
10039819,108,92.12,7,1,13.16
10040590,1,49.25,5,1,9.85
10040590,11,108.08,4,1,27.02
10041384,1,434.2799999999999,11,1,39.48
10041384,10,192.89999999999998,10,1,19.29
10041384,11,605.9000000000001,10,1,60.59
10041384,15,189.89999999999998,6,1,31.65
10041384,22,383.4000000000001,9,1,42.6
10041384,101,117.68000000000002,8,1,14.71
10041384,108,63.76,4,1,15.94
10044049,1,70.65,5,1,14.13
10044049,11,38.849999999999994,5,1,7.77
10045495,1,59.68,4,1,14.92
10045495,10,64.96,7,1,9.28
10045495,11,216.6,6,1,36.1
10045495,16,84.84,6,1,14.14
10045495,22,23.78,2,1,11.89
10045649,1,98.56,7,1,14.08
10045649,15,128.4,6,1,21.4
10045649,216,119.58,3,1,39.86
10045835,1,61.25,5,1,12.25
10045835,11,273.06,9,1,30.34
10045835,22,63.6,6,1,10.6
10046092,1,160.37,7,1,22.91
10046092,3,5.6,2,1,2.8
10046092,11,20.31,3,1,6.77
10047331,11,44.0,10,1,4.4
10050243,1,117.8,5,1,23.56
10050243,3,13.29,3,1,4.43
10050243,11,52.150000000000006,7,1,7.45
10052009,528,27.119999999999997,6,1,4.52
10052009,529,2.52,6,1,0.42
10055695,1,127.15,5,1,25.43
10055695,3,6.02,2,1,3.01
10055695,15,8.12,1,1,8.12
10057140,1,52.1,5,1,10.42
10057140,11,118.61999999999999,6,1,19.77
10057140,14,37.0,4,1,9.25
10057140,31,17.24,2,1,8.62
10057493,3,5.31,1,1,5.31
10057493,14,8.49,1,1,8.49
10057493,216,180.39999999999998,5,1,36.08
10057604,583,28.24,4,1,7.06
10064031,1,69.79,7,1,9.97
10064031,3,4.93,1,1,4.93
10065089,1,33.0,5,2,7.2
10065089,11,41.4,6,1,6.9
10071771,1,40.14999999999999,5,1,8.03
10076900,1,132.93,9,1,14.77
10076900,11,272.0400000000001,12,1,22.67
10076900,22,117.44999999999999,5,1,23.49
10078504,1,75.81,3,1,25.27
10078504,151,71.84,8,1,8.98
10079691,1,119.76,6,1,19.96
10079691,15,105.75,9,1,11.75
10079748,1,281.75,7,1,40.25
10079748,7,68.44,2,1,34.22
10079748,216,456.0,8,1,57.0
10079748,701,72.62,2,1,36.31
10079802,1,6.73,1,1,6.73
10081904,1,19.8,2,1,9.9
10081904,3,7.48,2,1,3.74
10081904,15,31.32,2,1,15.66
10086558,263,6.65,1,1,6.65
10086558,497,610.3,10,1,61.03
10086558,701,11.45,1,1,11.45
10086558,960,10.26,1,1,10.26
10086558,962,1.19,1,1,1.19
10092973,1,376.83,9,1,41.87
10092973,11,1112.87,11,1,101.17
10092973,14,239.39999999999998,12,1,19.95
10092973,22,180.78,6,1,30.13
10092973,583,19.88,4,1,4.97
10093589,1,485.28000000000003,9,1,53.92
10093589,11,394.3,10,1,39.43
10093589,111,126.07000000000002,7,1,18.01
10093589,113,289.36000000000007,8,1,36.17
10093589,120,45.0,4,1,11.25
10093589,160,518.54,11,1,47.14
10094291,1,88.41,7,1,12.63
10094291,10,116.7,10,1,11.67
10094291,11,351.99,9,1,39.11
10094291,22,65.28,6,1,10.88
10094305,1,29.25,3,1,9.75
10094305,11,162.54,7,1,23.22
10094305,22,74.96,4,1,18.74
10094305,280,2.6,4,1,0.65
10095182,11,47.22,6,1,7.87
10097738,1,262.78,7,1,37.54
10097738,11,317.3999999999999,12,1,26.45
10097738,15,102.47999999999999,6,1,17.08
10097738,22,102.54,6,1,17.09
10097738,31,14.89,1,1,14.89
10097738,101,140.56,7,1,20.08
10097738,109,74.0,5,1,14.8
10098505,1,267.3,9,1,29.7
10098505,11,1086.96,12,1,90.58
10098505,22,114.72,6,1,19.12
10098505,160,72.06,6,1,12.01
10098807,22,69.66,9,1,7.74
10100135,151,219.71999999999997,12,1,18.31
10100135,216,42.300000000000004,5,1,8.46
10100747,1,21.54,3,1,7.18
10100747,10,52.92,6,1,8.82
10100747,11,32.4,4,1,8.1
10102375,1,104.5,5,1,20.9
10102375,10,35.22,6,1,5.87
10102375,11,13.98,6,1,2.33
10102383,3,37.52,4,1,9.38
10102383,11,162.81,9,1,18.09
10102383,22,48.12,3,1,16.04
10105986,1,200.2,7,1,28.6
10105986,11,125.03999999999999,8,1,15.63
10105986,15,354.54,6,1,59.09
10105986,22,248.22000000000003,7,1,35.46
10105986,101,184.79999999999998,7,1,26.4
10105986,151,635.5799999999999,11,1,57.78
10108233,583,516.18,6,1,86.03
10110483,1,51.150000000000006,5,1,10.23
10110483,3,22.48,2,1,11.24
10110483,11,110.75,5,1,22.15
10110483,30,34.8,2,1,17.4
10111706,1,211.05,5,1,42.21
10111706,3,39.5,2,1,19.75
10111706,11,157.95,5,1,31.59
10112885,1,292.56,8,1,36.57
10112885,11,593.91,9,1,65.99
10112885,22,100.41,3,1,33.47
10114292,1,87.84,4,1,21.96
10114292,3,14.4,2,1,7.2
10114292,216,91.30000000000001,5,1,18.26
10115590,1,72.08,8,1,9.01
