OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides
31,,10006449,Houlbjergvej,16A,nan,8870,Langå,23.3,2,Juletræer og pyntegrønt,583,,48-16,34.95,4,0
32,,10006449,Houlbjergvej,16A,nan,8870,Langå,23.3,2,Juletræer og pyntegrønt,583,,347-5,16.31,4,0
33,,10006449,Houlbjergvej,16A,nan,8870,Langå,23.3,2,Juletræer og pyntegrønt,583,,396-82,2.97,4,0
87,,10007992,Vanggårdsvej,2,nan,6660,Lintrup,,,nan,,,nan,,,1
97,,10010047,Brøkkelhusvej,5,nan,6500,Vojens,,,nan,,,nan,,,1
98,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,19-207,3.39,4,0
99,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,396-77,1.362,2,0
100,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,8.22,2,Vinterhvede,11,,64-100,0.288,2,0
101,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,756-2,10.215,4,0
102,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,8.22,2,Vinterhvede,11,,1-223,1.644,4,0
103,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,396-12,2.724,4,0
104,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,64-72,6.81,4,0
105,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,5.2,2,Vårbyg,1,,18-416,0.155,4,0
106,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,64-91,2.724,4,0
107,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,5.2,2,Vårbyg,1,,18-569,0.31,4,0
108,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,6.81,2,Vinterraps,22,,396-57,1.702,4,0
109,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,8.22,2,Vinterhvede,11,,18-597,1.233,4,0
110,,10013828,Auderød Byvej,36,nan,3300,Frederiksværk,8.22,2,Vinterhvede,11,,347-57,1.233,4,0
544,,10057604,Stendalsvej,14,nan,9520,Skørping,2.8,2,Juletræer og pyntegrønt,583,,18-669,5.04,4,0
545,,10057604,Stendalsvej,14,nan,9520,Skørping,4.3,2,Juletræer og pyntegrønt,583,,48-16,5.81,4,0
546,,10057604,Stendalsvej,14,nan,9520,Skørping,4.3,2,Juletræer og pyntegrønt,583,,396-26,1.01,4,0
1009,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,64-74,1.4,2,0
1010,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,396-12,18.375,4,0
1011,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,18-484,6.552,2,0
1012,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,48-16,27.6,4,0
1013,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,347-38,0.282,4,0
1014,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,1-252,17.16,2,0
1015,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,18-514,1.959,4,0
1016,,10108233,Rolles Møllevej,50,nan,6640,Lunderskov,77.92,2,Juletræer og pyntegrønt,583,,347-37,1.564,4,0
1076,,10116538,Stolligvej,59,nan,6200,Aabenraa,,,nan,,,nan,,,1
1126,,10119731,Fladmosevej,12,nan,5620,Glamsbjerg,,,nan,,,nan,,,1
1242,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,738-1,0.7,2,0
1243,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,19-151,3.7,2,0
1244,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,1-172,1.0,4,0
1245,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,18-544,58.71,4,0
1246,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,677-3,0.005,2,0
1247,,10132851,Ny Vestergade,74A,nan,5672,Broby,6.43,2,Lukket system,499,,64-51,78.02,4,0
1248,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,677-2,0.5,2,0
1249,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,18-549,16.7,4,0
1250,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,1-201,0.05,2,0
1251,,10132851,Ny Vestergade,74A,nan,5672,Broby,6.43,2,Lukket system,499,,1-192,48.02,4,0
1252,,10132851,Ny Vestergade,74A,nan,5672,Broby,6.43,2,Lukket system,499,,544-3,367.63,4,0
1253,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,1-227,30.37,2,0
1254,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,526-14,7.5,4,0
1255,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,1038-1,15.26,2,0
1256,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,1-252,0.7,2,0
1257,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,561-3,21.03,2,0
1258,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,880-3,2.79,2,0
1259,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,561-6,6.79,4,0
1260,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,738-3,12.81,4,0
1261,,10132851,Ny Vestergade,74A,nan,5672,Broby,6.43,2,Lukket system,499,,11-71,1.14,2,0
1262,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,632-5,1.24,4,0
1263,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,352-5,11.98,2,0
1264,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,526-3,7.43,4,0
1265,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,558-5,2.36,4,0
1266,,10132851,Ny Vestergade,74A,nan,5672,Broby,6.43,2,Lukket system,499,,1-260,0.97,2,0
1267,,10132851,Ny Vestergade,74A,nan,5672,Broby,9.26,2,Potteplanter,545,,738-2,8.89,2,0
