CVR,CropCode,AcreageSize,MatchedSum,Diff,PctDiff,TotalMarkerArea,TotalGKEAArea,RatioToTotal,Subset,Source
10065089,1,4.2,4.2,0.0,0.0,7.24,,58.011049723756905,"[('Marker_2022.229581', 4.2)]",Marker_Direct_Unique
10039819,108,13.16,13.14,-0.019999999999999574,-0.15197568389057428,13.620000000000001,,96.47577092511013,"[('Marker_2022.208973', 5.95), ('Marker_2022.208970', 7.19)]",Marker_Direct_Unique
10021499,583,18.2,18.2,0.0,0.0,24.07,,75.61279601163274,"[('Marker_2022.437526', 0.37), ('Marker_2022.437525', 0.52), ('Marker_2022.488547', 1.64), ('Marker_2022.488553', 3.47), ('Marker_2022.488551', 4.99), ('Marker_2022.488549', 7.21)]",Marker_Tie_Break
10127874,583,3.56,3.56,0.0,0.0,6.13,,58.07504078303426,"[('Marker_2022.68927', 0.21), ('Marker_2022.77357', 0.29), ('Marker_2022.77356', 0.89), ('Marker_2022.30988', 2.17)]",Marker_Tie_Break
10117976,15,11.56,11.57,0.009999999999999787,0.08650519031141683,25.15,,46.00397614314116,"[('Marker_2022.353536', 1.46), ('Marker_2022.353540', 10.11)]",Marker_Direct_Unique
10127874,1,14.09,14.1,0.009999999999999787,0.07097232079488848,18.36,,76.79738562091504,"[('Marker_2022.54460', 0.68), ('Marker_2022.53849', 1.28), ('Marker_2022.54458', 1.28), ('Marker_2022.53848', 2.24), ('Marker_2022.53846', 2.52), ('Marker_2022.58829', 2.93), ('Marker_2022.53844', 3.17)]",Marker_Tie_Break
10127874,1,17.82,17.68,-0.14000000000000057,-0.7856341189674555,18.36,,96.2962962962963,"[('Marker_2022.54461', 0.8), ('Marker_2022.54459', 1.0), ('Marker_2022.53849', 1.28), ('Marker_2022.54458', 1.28), ('Marker_2022.53848', 2.24), ('Marker_2022.53847', 2.46), ('Marker_2022.53846', 2.52), ('Marker_2022.58829', 2.93), ('Marker_2022.53844', 3.17)]",Marker_Tie_Break
10117976,1,37.06,36.989999999999995,-0.07000000000000739,-0.18888289260660385,50.489999999999995,,73.26203208556149,"[('Marker_2022.407034', 2.52), ('Marker_2022.353537', 3.3), ('Marker_2022.336323', 4.5), ('Marker_2022.353539', 9.43), ('Marker_2022.407035', 17.24)]",Marker_Tie_Break
10117976,1,44.3,44.26,-0.03999999999999915,-0.09029345372460305,50.489999999999995,,87.6609229550406,"[('Marker_2022.353534', 0.78), ('Marker_2022.407034', 2.52), ('Marker_2022.353537', 3.3), ('Marker_2022.353539', 9.43), ('Marker_2022.407032', 10.99), ('Marker_2022.407035', 17.24)]",Marker_Tie_Break
10179483,1,12.04,12.04,0.0,0.0,,12.85,93.6964980544747,"[('12', 1.25), ('13', 10.79)]",GKEA_Direct_Unique
10179483,22,5.58,5.58,0.0,0.0,8.96,,62.27678571428571,"[('Marker_2022.185285', 5.58)]",Marker_Direct_Unique
10200903,160,5.6,5.6,0.0,0.0,13.129999999999999,,42.65041888804265,"[('Marker_2022.511637', 5.6)]",Marker_Direct_Unique
10202833,1,7.12,7.12,0.0,0.0,9.3,,76.55913978494623,"[('Marker_2022.54856', 1.1), ('Marker_2022.54857', 1.15), ('Marker_2022.55402', 1.4), ('Marker_2022.55403', 3.47)]",Marker_Tie_Break
10200903,11,9.89,9.89,0.0,0.0,22.68,,43.60670194003527,"[('Marker_2022.517204', 4.51), ('Marker_2022.517199', 5.38)]",Marker_Tie_Break
10200903,11,11.26,11.26,0.0,0.0,22.68,,49.64726631393298,"[('Marker_2022.461544', 1.37), ('Marker_2022.517204', 4.51), ('Marker_2022.517199', 5.38)]",Marker_Tie_Break
10315581,583,34.0,34.01,0.00999999999999801,0.0294117647058765,34.78,,97.78608395629671,"[('Marker_2022.18760', 1.32), ('Marker_2022.41473', 1.38), ('Marker_2022.18761', 1.55), ('Marker_2022.41474', 1.91), ('Marker_2022.18758', 1.97), ('Marker_2022.18762', 2.36), ('Marker_2022.41472', 2.44), ('Marker_2022.18765', 3.18), ('Marker_2022.41470', 3.18), ('Marker_2022.18766', 3.22), ('Marker_2022.18764', 3.36), ('Marker_2022.41471', 3.68), ('Marker_2022.18763', 4.46)]",Marker_Tie_Break
10420040,1,0.97,0.97,0.0,0.0,2.37,,40.92827004219409,"[('Marker_2022.226517', 0.97)]",Marker_Direct_Unique
10420040,14,1.8,1.8,0.0,0.0,4.81,,37.42203742203743,"[('Marker_2022.176441', 1.8)]",Marker_Direct_Unique
10485037,263,6.09,6.2,0.11000000000000032,1.8062397372742254,6.390000000000001,,97.02660406885758,"[('Marker_2022.90945', 0.49), ('Marker_2022.60404', 1.01), ('Marker_2022.131242', 4.7)]",Marker_Direct_Unique
10430348,1,73.45,73.45,0.0,0.0,89.52,,82.04870420017873,"[('Marker_2022.357341', 3.35), ('Marker_2022.330730', 4.54), ('Marker_2022.330729', 4.85), ('Marker_2022.330731', 4.86), ('Marker_2022.330728', 4.87), ('Marker_2022.330732', 7.04), ('Marker_2022.314271', 20.06), ('Marker_2022.314272', 23.88)]",Marker_Tie_Break
10594707,255,11.0,10.969999999999999,-0.030000000000001137,-0.2727272727272831,11.959999999999999,,91.72240802675586,"[('Marker_2022.210310', 0.55), ('Marker_2022.210309', 0.66), ('Marker_2022.210311', 1.4), ('Marker_2022.198646', 1.49), ('Marker_2022.259686', 2.21), ('Marker_2022.210312', 2.3), ('Marker_2022.210313', 2.36)]",Marker_Direct_Unique
10744377,1,40.58,40.58,0.0,0.0,51.09,,79.42845958113132,"[('Marker_2022.474626', 11.69), ('Marker_2022.355759', 14.32), ('Marker_2022.410303', 14.57)]",Marker_Direct_Unique
10803608,1,16.58,16.91,0.33000000000000185,1.9903498190591187,18.06,,93.63233665559247,"[('Marker_2022.418014', 0.75), ('Marker_2022.418011', 2.78), ('Marker_2022.506745', 3.39), ('Marker_2022.418013', 3.9), ('Marker_2022.469336', 6.09)]",Marker_Direct_Unique
10916399,1,17.84,17.82,-0.019999999999999574,-0.11210762331838327,19.830000000000002,,89.86384266263236,"[('Marker_2022.327423', 5.38), ('Marker_2022.312382', 5.7), ('Marker_2022.327421', 6.74)]",Marker_Direct_Unique
10986303,1,8.2,8.14,-0.05999999999999872,-0.7317073170731552,8.47,,96.1038961038961,"[('Marker_2022.393089', 8.14)]",Marker_Direct_Unique
10991536,528,7.0,6.97,-0.03000000000000025,-0.42857142857143216,8.12,,85.83743842364532,"[('Marker_2022.145918', 0.69), ('Marker_2022.101897', 1.34), ('Marker_2022.101898', 1.37), ('Marker_2022.101899', 1.65), ('Marker_2022.101903', 1.92)]",Marker_Direct_Unique
11049982,583,4.54,4.53,-0.009999999999999787,-0.22026431718061204,,4.7299999999999995,95.77167019027486,"[('10-2', 0.9), ('10-1', 1.67), ('10-3', 1.96)]",GKEA_Direct_Unique
11099599,1,13.17,13.23,0.0600000000000005,0.45558086560364847,19.53,,67.74193548387096,"[('Marker_2022.350155', 6.06), ('Marker_2022.340006', 7.17)]",Marker_Direct_Unique
11099599,108,8.55,8.55,0.0,0.0,16.6,,51.50602409638554,"[('Marker_2022.350156', 8.55)]",Marker_Direct_Unique
11106978,1,9.33,9.33,0.0,0.0,9.85,,94.72081218274113,"[('Marker_2022.562724', 2.5), ('Marker_2022.565774', 3.15), ('Marker_2022.565773', 3.68)]",Marker_Direct_Unique
11106978,1,10.98,10.98,0.0,0.0,,11.5,95.47826086956522,"[('4', 1.65), ('5', 2.5), ('2', 3.15), ('1', 3.68)]",GKEA_Direct_Unique
11168485,1,5.58,5.5200000000000005,-0.05999999999999961,-1.0752688172042941,5.7700000000000005,,95.66724436741768,"[('Marker_2022.123366', 0.38), ('Marker_2022.121299', 1.6), ('Marker_2022.123365', 3.54)]",Marker_Direct_Unique
11146694,583,7.1,7.07,-0.02999999999999936,-0.42253521126759663,,11.09,63.751127141568986,"[('7b', 0.98), ('10a10b', 1.53), ('6a', 1.72), ('1a1b1c', 2.84)]",GKEA_Tie_Break
11146694,583,7.9,7.88,-0.020000000000000462,-0.2531645569620311,,11.09,71.05500450856627,"[('7b', 0.98), ('6a', 1.72), ('11a12a', 2.34), ('1a1b1c', 2.84)]",GKEA_Tie_Break
11168485,152,13.98,14.0,0.019999999999999574,0.14306151645207132,16.36,,85.57457212713938,"[('Marker_2022.108348', 0.65), ('Marker_2022.108341', 1.0), ('Marker_2022.99251', 1.28), ('Marker_2022.123364', 1.3), ('Marker_2022.99252', 1.77), ('Marker_2022.123362', 1.94), ('Marker_2022.123363', 2.68), ('Marker_2022.123361', 3.38)]",Marker_Tie_Break
11171192,124,15.84,15.84,0.0,0.0,23.37,,67.77920410783055,"[('Marker_2022.527327', 15.84)]",Marker_Direct_Unique
11219004,10,6.14,6.14,0.0,0.0,18.529999999999998,,33.13545601726929,"[('Marker_2022.139515', 6.14)]",Marker_Tie_Break
11219004,10,8.92,8.92,0.0,0.0,18.529999999999998,,48.138154344306535,"[('Marker_2022.139510', 0.7), ('Marker_2022.184640', 2.08), ('Marker_2022.139515', 6.14)]",Marker_Direct_Unique
11219004,2,14.21,14.21,0.0,0.0,15.35,,92.57328990228014,"[('Marker_2022.110726', 0.46), ('Marker_2022.139512', 1.34), ('Marker_2022.103829', 1.55), ('Marker_2022.139509', 4.48), ('Marker_2022.90581', 6.38)]",Marker_Tie_Break
11219004,11,12.0,12.0,0.0,0.0,14.959999999999999,,80.21390374331551,"[('Marker_2022.139513', 12.0)]",Marker_Direct_Unique
11219004,22,6.29,6.29,0.0,0.0,11.74,,53.57751277683135,"[('Marker_2022.139514', 6.29)]",Marker_Direct_Unique
11300685,11,6.12,6.12,0.0,0.0,7.62,,80.31496062992126,"[('Marker_2022.300107', 2.93), ('Marker_2022.300680', 3.19)]",Marker_Direct_Unique
11304672,11,14.48,14.48,0.0,0.0,15.18,,95.38866930171278,"[('Marker_2022.280641', 6.8), ('Marker_2022.280640', 7.68)]",Marker_Direct_Unique
11354998,1,12.62,12.62,0.0,0.0,23.52,,53.656462585034014,"[('Marker_2022.354200', 12.62)]",Marker_Direct_Unique
11372538,1,5.0,5.07,0.07000000000000028,1.4000000000000057,8.66,,58.545034642032334,"[('Marker_2022.82888', 1.58), ('Marker_2022.80576', 3.49)]",Marker_Direct_Unique
11372538,497,2.33,2.33,0.0,0.0,2.77,,84.11552346570397,"[('Marker_2022.82889', 2.33)]",Marker_Direct_Unique
11433103,11,7.49,7.49,0.0,0.0,21.67,,34.56391324411629,"[('Marker_2022.26745', 7.49)]",Marker_Tie_Break
11433103,11,10.54,10.54,0.0,0.0,21.67,,48.63867097369635,"[('Marker_2022.26744', 3.05), ('Marker_2022.26745', 7.49)]",Marker_Direct_Unique
11433103,11,17.12,17.12,0.0,0.0,21.67,,79.0032302722658,"[('Marker_2022.26743', 1.34), ('Marker_2022.26744', 3.05), ('Marker_2022.106942', 5.24), ('Marker_2022.26745', 7.49)]",Marker_Tie_Break
11433103,1,15.02,15.02,0.0,0.0,16.79,,89.45801072066708,"[('Marker_2022.106943', 3.56), ('Marker_2022.24391', 4.96), ('Marker_2022.24392', 6.5)]",Marker_Direct_Unique
11486932,1,106.66,106.55,-0.10999999999999943,-0.10313144571535666,127.04,,83.87122166246851,"[('Marker_2022.516799', 3.57), ('Marker_2022.516798', 3.88), ('Marker_2022.460625', 7.33), ('Marker_2022.516499', 9.3), ('Marker_2022.516500', 10.84), ('Marker_2022.460624', 27.98), ('Marker_2022.411094', 43.65)]",Marker_Tie_Break
11552943,528,10.0,9.98,-0.019999999999999574,-0.19999999999999576,,10.43,95.68552253116012,"[('113-1', 0.01), ('7-2', 0.24), ('103-0', 0.39), ('105-1', 0.46), ('113-0', 0.65), ('1-0', 0.71), ('110-2', 0.77), ('7-1', 1.5), ('106-0', 1.55), ('111-0', 1.67), ('3-0', 2.03)]",GKEA_Tie_Break
11741002,1,2.0,2.0,0.0,0.0,2.9699999999999998,,67.34006734006735,"[('Marker_2022.219617', 2.0)]",Marker_Direct_Unique
