cvr,afsat_biogas,afsat_other,year
10001528,0.0,54865.0,2018
10004136,0.0,28270.0,2018
10007194,0.0,10296.0,2018
10007321,0.0,10521.0,2018
10007992,49997.0,0.0,2018
10010047,0.0,2589.0,2018
10019885,4636.0,6566.0,2018
10020042,0.0,2005.0,2018
10020573,0.0,43724.0,2018
10022991,0.0,891.0,2018
10024870,0.0,319.0,2018
10030455,0.0,7795.0,2018
10032830,0.0,80795.0,2018
10035252,0.0,6606.0,2018
10037581,0.0,51208.0,2018
10044812,0.0,4382.0,2018
10047331,0.0,1742.0,2018
10048141,0.0,443.0,2018
10054826,0.0,23026.0,2018
10057868,0.0,34380.0,2018
10066573,0.0,3200.0,2018
10068045,10899.0,29841.0,2018
10074061,0.0,38298.0,2018
10074525,0.0,15378.0,2018
10076900,0.0,2761.0,2018
10079748,39190.0,3545.0,2018
10094291,0.0,5198.0,2018
10098505,0.0,413.0,2018
10098807,0.0,378.0,2018
10100135,8960.0,0.0,2018
10108993,0.0,39149.0,2018
10117674,0.0,469.0,2018
10117976,0.0,5181.0,2018
10119731,0.0,72341.0,2018
10120632,0.0,400.0,2018
10120780,0.0,2352.0,2018
10133904,0.0,966.0,2018
10134986,0.0,33826.0,2018
10145201,0.0,150.0,2018
10145597,0.0,6046.0,2018
10146712,0.0,755.0,2018
10146879,0.0,0.0,2018
10149835,0.0,905.0,2018
10150175,0.0,8062.0,2018
10159431,33030.0,5028.0,2018
10164699,0.0,1371.0,2018
10165466,0.0,27698.0,2018
10165563,0.0,64137.0,2018
10166586,1899.0,2974.0,2018
10166675,0.0,800.0,2018
10168732,0.0,23996.0,2018
10170257,0.0,6138.0,2018
10170516,0.0,640.0,2018
10172098,0.0,16232.0,2018
10175488,0.0,2871.0,2018
10179939,0.0,1519.0,2018
10185130,0.0,3295.0,2018
10188075,39762.0,16053.0,2018
10188245,0.0,3650.0,2018
10190045,16874.0,19158.0,2018
10194237,0.0,208.0,2018
10194784,0.0,3820.0,2018
10195276,0.0,1167.0,2018
10196132,37813.0,2375.0,2018
10196795,5801.0,0.0,2018
10201268,0.0,105.0,2018
10201845,0.0,2213.0,2018
10202124,0.0,58040.0,2018
10202655,0.0,3169.0,2018
10205107,0.0,15788.0,2018
10205190,8000.0,0.0,2018
10206855,0.0,1066.0,2018
10207215,0.0,3285.0,2018
10208114,0.0,5978.0,2018
10208262,73310.0,6615.0,2018
10218349,0.0,4996.0,2018
10220408,0.0,1268.0,2018
10220483,1100.0,0.0,2018
10223849,0.0,284.0,2018
10231108,0.0,4763.0,2018
10240530,0.0,8786.0,2018
10252237,0.0,393.0,2018
10252407,31118.0,0.0,2018
10253594,0.0,1416.0,2018
10261341,0.0,7153.0,2018
10262275,0.0,1770.0,2018
10263433,0.0,26261.0,2018
10263786,0.0,3933.0,2018
10271045,0.0,4102.0,2018
10271932,0.0,174.0,2018
10273242,0.0,1130.0,2018
10273641,0.0,6641.0,2018
10273803,6851.0,0.0,2018
10274389,0.0,6053.0,2018
10283183,19754.0,2203.0,2018
10289378,68338.0,5125.0,2018
10291194,0.0,2441.0,2018
10310830,0.0,258.0,2018
10314879,0.0,6050.0,2018
10316944,0.0,2317.0,2018
10325595,0.0,1878.0,2018
10327245,0.0,904.0,2018
10327296,38577.0,22503.0,2018
10329531,0.0,9910.0,2018
10337186,0.0,1197.0,2018
10342201,0.0,5569.0,2018
10346045,0.0,10049.0,2018
10347203,0.0,1547.0,2018
10351995,0.0,1047.0,2018
10352096,0.0,1821.0,2018
10353246,0.0,41669.0,2018
10354544,0.0,4754.0,2018
10357047,0.0,3364.0,2018
10365007,0.0,3563.0,2018
10368332,0.0,1760.0,2018
10369975,0.0,451.0,2018
10370094,0.0,489.0,2018
10376394,0.0,17864.0,2018
10379709,0.0,8320.0,2018
10381584,0.0,80.0,2018
10382432,0.0,591.0,2018
10383196,0.0,16640.0,2018
10383730,1773.0,3381.0,2018
10391237,0.0,10267.0,2018
10391385,0.0,6614.0,2018
10393108,0.0,4531.0,2018
10411092,0.0,640.0,2018
10414830,0.0,2728.0,2018
10414970,0.0,938.0,2018
10420008,0.0,3105.0,2018
10420342,0.0,2066.0,2018
10429803,0.0,10827.0,2018
10435293,0.0,420.0,2018
10435633,14967.0,2909.0,2018
10440076,0.0,4295.0,2018
10450977,0.0,7832.0,2018
10454433,0.0,4568.0,2018
10456932,0.0,116.0,2018
10470641,16910.0,15753.0,2018
10484383,0.0,1575.0,2018
10486378,0.0,7744.0,2018
10491592,0.0,3938.0,2018
10498988,0.0,4003.0,2018
10501237,0.0,3119.0,2018
10502438,4867.0,0.0,2018
10508843,0.0,6297.0,2018
10508940,0.0,17021.0,2018
10509734,0.0,575.0,2018
10514991,0.0,20191.0,2018
10516978,9655.0,0.0,2018
10518393,0.0,3220.0,2018
10533228,0.0,597.0,2018
10539048,0.0,350.0,2018
10539935,0.0,7138.0,2018
10546095,0.0,379.0,2018
10547377,0.0,1400.0,2018
10548942,0.0,33463.0,2018
10556090,0.0,68.0,2018
10557275,0.0,1208.0,2018
10557496,0.0,23490.0,2018
10561086,0.0,6481.0,2018
10566274,0.0,10900.0,2018
10570808,0.0,9494.0,2018
10572037,0.0,5965.0,2018
10572606,0.0,4512.0,2018
10574749,0.0,373.0,2018
10575044,0.0,709.0,2018
10581796,0.0,1612.0,2018
10582733,0.0,1433.0,2018
10585007,0.0,1827.0,2018
10588413,0.0,310.0,2018
10591783,0.0,1886.0,2018
10592739,0.0,1340.0,2018
10594294,0.0,3409.0,2018
10615984,0.0,1500.0,2018
10618908,0.0,2686.0,2018
10626374,0.0,222.0,2018
10630940,0.0,6915.0,2018
10633370,0.0,28301.0,2018
10634806,0.0,667.0,2018
10637244,7358.0,3344.0,2018
10638836,1954.0,29086.0,2018
10644135,0.0,9155.0,2018
10646545,0.0,20865.0,2018
10660440,0.0,71637.0,2018
10681693,0.0,348.0,2018
10694876,0.0,361.0,2018
10704871,0.0,1025.0,2018
10712386,0.0,22268.0,2018
10720095,729.0,0.0,2018
10722373,0.0,25778.0,2018
10735645,0.0,16923.0,2018
10738490,0.0,11133.0,2018
10747430,0.0,864.0,2018
10776503,0.0,2453.0,2018
10780179,0.0,5527.0,2018
10788072,0.0,6346.0,2018
10790638,0.0,24813.0,2018
10790697,8146.0,0.0,2018
10791391,0.0,1926.0,2018
10797594,0.0,34577.0,2018
10798736,0.0,1491.0,2018
10799686,0.0,4075.0,2018
10803608,0.0,891.0,2018
10818680,69450.0,7711.0,2018
10832284,19637.0,17376.0,2018
10833604,0.0,1960.0,2018
10841771,0.0,877.0,2018
10844789,0.0,69328.0,2018
10849748,0.0,12508.0,2018
10853087,6890.0,0.0,2018
10854687,0.0,273.0,2018
10855640,0.0,1717.0,2018
10855888,57082.0,0.0,2018
10856140,0.0,4350.0,2018
10858895,0.0,44970.0,2018
10859492,0.0,343.0,2018
10864593,78437.0,6134.0,2018
10864984,0.0,14353.0,2018
10866936,0.0,27753.0,2018
10870844,0.0,1443.0,2018
10872871,0.0,16562.0,2018
10878802,0.0,29665.0,2018
10880106,0.0,19568.0,2018
10883636,6722.0,4949.0,2018
10890195,0.0,4340.0,2018
10894107,0.0,43980.0,2018
10901332,0.0,6012.0,2018
10902088,0.0,294.0,2018
10906598,0.0,24753.0,2018
10907586,0.0,2400.0,2018
10911249,0.0,183.0,2018
10914078,0.0,3190.0,2018
10918294,0.0,33293.0,2018
10919975,34510.0,17007.0,2018
10920248,0.0,252.0,2018
10926408,0.0,15499.0,2018
10936047,0.0,183.0,2018
10939348,0.0,5438.0,2018
10940532,0.0,1599.0,2018
10944732,0.0,5296.0,2018
10945801,7603.0,0.0,2018
10947278,0.0,6469.0,2018
10951135,0.0,632.0,2018
10951194,0.0,4997.0,2018
10954576,12276.0,5780.0,2018
10956471,0.0,32151.0,2018
10958946,0.0,2120.0,2018
10959446,0.0,7126.0,2018
10975794,0.0,2250.0,2018
10975832,0.0,4518.0,2018
10985544,9374.0,0.0,2018
10995175,0.0,208.0,2018
10997801,0.0,7751.0,2018
10998697,0.0,621.0,2018
11005438,0.0,903.0,2018
11010539,23449.0,0.0,2018
11015247,0.0,4264.0,2018
11019285,0.0,54503.0,2018
11026184,0.0,2880.0,2018
11026389,0.0,28536.0,2018
11028438,73305.0,61584.0,2018
11038441,0.0,2231.0,2018
11043895,0.0,495.0,2018
11062849,0.0,2323.0,2018
11072933,0.0,670.0,2018
11079946,0.0,32264.0,2018
11086284,0.0,169.0,2018
11090699,48914.0,22811.0,2018
11102212,0.0,576.0,2018
11111831,0.0,12182.0,2018
11114245,16087.0,0.0,2018
11135641,0.0,4992.0,2018
11136885,0.0,285.0,2018
11138985,7431.0,593.0,2018
11145531,0.0,5811.0,2018
11149405,27812.0,0.0,2018
11154581,0.0,1827.0,2018
11171044,0.0,2426.0,2018
11171192,0.0,7244.0,2018
11174590,0.0,2381.0,2018
11183883,0.0,4812.0,2018
11188419,0.0,967.0,2018
11197884,0.0,123.0,2018
11206433,0.0,19564.0,2018
11219101,17338.0,8362.0,2018
11230075,0.0,1088.0,2018
11231683,0.0,628.0,2018
11247377,0.0,6615.0,2018
11249035,38424.0,19665.0,2018
11254187,0.0,4476.0,2018
11254217,0.0,146.0,2018
11258549,0.0,485.0,2018
11263240,0.0,214.0,2018
11270743,0.0,2306.0,2018
11277500,0.0,40226.0,2018
11280072,0.0,2254.0,2018
11280188,0.0,3390.0,2018
11295681,0.0,24813.0,2018
11298885,0.0,943.0,2018
