cvr,livestock_n,cattle_cnt,pig_cnt,poultry_cnt,n_chr,rows,year
10001102,0.0,0.0,0.0,0.0,0,2,2015
10001447,0.0,0.0,0.0,0.0,0,8,2015
10001528,0.0,0.0,0.0,0.0,0,5,2015
10004136,0.0,0.0,0.0,0.0,0,5,2015
10004845,0.0,0.0,0.0,0.0,0,3,2015
10007194,0.0,0.0,0.0,0.0,0,9,2015
10007321,0.0,0.0,0.0,0.0,0,1,2015
10007992,0.0,0.0,0.0,0.0,0,2,2015
10008042,0.0,0.0,0.0,0.0,0,6,2015
10010047,0.0,0.0,0.0,0.0,0,6,2015
10010942,0.0,0.0,0.0,0.0,0,7,2015
10013828,0.0,0.0,0.0,0.0,0,3,2015
10013836,0.0,0.0,0.0,0.0,0,2,2015
10019761,0.0,0.0,0.0,0.0,0,1,2015
10019788,0.0,0.0,0.0,0.0,0,2,2015
10019885,0.0,0.0,0.0,0.0,0,12,2015
10020042,0.0,0.0,0.0,0.0,0,11,2015
10020131,0.0,0.0,0.0,0.0,0,2,2015
10020573,0.0,0.0,0.0,0.0,0,4,2015
10020948,0.0,0.0,0.0,0.0,0,1,2015
10020972,0.0,0.0,0.0,0.0,0,1,2015
10022991,0.0,0.0,0.0,0.0,0,6,2015
10023211,0.0,0.0,0.0,0.0,0,2,2015
10023734,0.0,0.0,0.0,0.0,0,1,2015
10024439,0.0,0.0,0.0,0.0,0,5,2015
10024870,0.0,0.0,0.0,0.0,0,6,2015
10027888,0.0,0.0,0.0,0.0,0,1,2015
10028671,0.0,0.0,0.0,0.0,0,9,2015
10029295,0.0,0.0,0.0,0.0,0,2,2015
10029988,0.0,0.0,0.0,0.0,0,6,2015
10030455,0.0,0.0,0.0,0.0,0,2,2015
10031133,0.0,0.0,0.0,0.0,0,1,2015
10032296,0.0,0.0,0.0,0.0,0,8,2015
10032504,0.0,0.0,0.0,0.0,0,2,2015
10032830,0.0,0.0,0.0,0.0,0,2,2015
10035252,0.0,0.0,0.0,0.0,0,1,2015
10037581,0.0,0.0,0.0,0.0,0,4,2015
10037603,0.0,0.0,0.0,0.0,0,6,2015
10041384,0.0,0.0,0.0,0.0,0,4,2015
10044049,0.0,0.0,0.0,0.0,0,4,2015
10044545,0.0,0.0,0.0,0.0,0,6,2015
10044812,0.0,0.0,0.0,0.0,0,1,2015
10045495,0.0,0.0,0.0,0.0,0,1,2015
10045649,0.0,0.0,0.0,0.0,0,7,2015
10045835,0.0,0.0,0.0,0.0,0,3,2015
10046092,0.0,0.0,0.0,0.0,0,5,2015
10047331,0.0,0.0,0.0,0.0,0,1,2015
10048141,0.0,0.0,0.0,0.0,0,1,2015
10054826,0.0,0.0,0.0,0.0,0,8,2015
10055695,0.0,0.0,0.0,0.0,0,6,2015
10057140,0.0,0.0,0.0,0.0,0,2,2015
10057183,0.0,0.0,0.0,0.0,0,3,2015
10057272,0.0,0.0,0.0,0.0,0,5,2015
10057493,0.0,0.0,0.0,0.0,0,1,2015
10057868,0.0,0.0,0.0,0.0,0,2,2015
10058880,0.0,0.0,0.0,0.0,0,4,2015
10059291,0.0,0.0,0.0,0.0,0,6,2015
10063132,0.0,0.0,0.0,0.0,0,5,2015
10064031,0.0,0.0,0.0,0.0,0,23,2015
10066573,0.0,0.0,0.0,0.0,0,5,2015
