anlaeg,ejer,adresse,type,lat,lon,cvr,virk_navn,pno,branche,match_source,afregning_2023_kr,prod_opgrad_gj,prod_el_gj
Nørgård Biogas ApS,Nørgård Biogas ApS,"Abildholtvej 7, 7500 Holstebro",,56.36591058,8.88465252,32593631,Nørgård Agro I/S,1015731903.0,Blandet landbrugsdrift,punit_address,-2005230.26,,13637.987103311998
Grauballegaard Biogas ApS,DBC,"Allingvej 13, 8632 Lemming",Landbrug,56.24445309,9.57798608,28692404,BB-ALLING HOLDING ApS,1011290457.0,Uoplyst,punit_address,-18868262.769999996,235967.6839472541,
Vestjysk Biogas ApS,DBC,"Arnborgvej 23a, 6900 Skjern",Landbrug,55.96814098,8.59502133,37808474,Vestjysk Biogas ApS,1021521864.0,Produktion af gas,punit_address,-21450750.14,245431.9085480852,
Kalundborg Bioenergi A/S,Bigadan,"Asnæsvej 14A, 4400 Kalundborg",Industri,55.66175543,11.09615927,25191153,Kalundborg Bioenergi A/S,1023737333.0,Produktion af gas,punit_address,-87602598.62,1060145.52606448,
Ejnar Kirk,Ejnar Kirk,"Ballerumvej 65, 7700 Thisted",,56.99532411,8.70782048,13159394,EJNAR KIRK,1000511330.0,Produktion af slagtesvin,punit_address,-1366438.4999999998,,9293.43192525072
Nature Energy Bånlev A/S ,Nature Energy Bånlev A/S,"Bjergagervej 4, 8380 Thrige",Landbrug,,,38748483,Nature Energy Bånlev Transport A/S,,Vejgodstransport,name,-23736463.45,271584.2332060135,
Egen produktion,Aarhus Universitet Foulum,"Burrehøjvej 43, 8830 Tjele ",,56.49688352,9.6003082,59217917,Kvægbrugets Forsøgcenter,1008026501.0,Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik,punit_address,-1211351.52,,8238.653079696
KW Energi A/S,KW Energi A/S,"Buskmosevej 37A, 6300 Gråsten",Landbrug,54.92322917,9.51597475,39645491,KW Energi A/S,1023705261.0,Produktion af gas,punit_address,-2390464.5500000003,80446.78911251361,16258.045397046337
Tybjerggaard Breeding A/S,Tybjerggaard Breeding A/S,Bøged Strandvej 2B,,55.09900798,12.14812399,19308391,EJENDOMMEN BØGED STRANDVEJ 23 V/LISBETH OG ALLAN CAPION,1003761297.0,Udlejning af erhvervsejendomme,punit_address,-1631768.03,,11097.9930002292
LBT Agro K/S ,LBT Agro K/S,"Dammenvej 139, 9800 Hjørring",Landbrug,57.41308778,10.0137079,28658842,LBT AGRO I K/S,1012400523.0,Produktion af gas,punit_address,-36539691.21,432983.5369342554,22902.173690292
